"Data", "Region geologiczny", "Lokacja"
"", "Devil's Lake", "ND, USA"
"","Cinder Lake crater field","AZ, USA"
"","Red Dirt Falls","Waimea, HI, USA"
"1970-05","Orocopia Mountains","CA, USA"
"1970-06","Mojave Desert","CA, USA"
"1970-06","Flagstaff","AZ, USA"
"1970-07","Flagstaff","AZ, USA"
"1970-07","Medicine Hat","Alberta, Canada"
"1970-07","Medicine Hat","Alberta, Canada"
"1970-08","San Juan Mountains","CO, USA"
"1970-09","Buell Park","AZ, USA"
"1970-10","North Minnesota","NM, USA"
"1970-11","Flagstaff","AZ, USA"
"1970-11","San Gabriel Mountains","CA, USA"
"1970-12","Hawaii","HI, USA"
"1971-01","Kilbourne Hole","NM, USA"
"1971-02","Ubehebe Craters","CA, USA"
"1970-03","Taos","NM, USA"
"1970-04","Coso Hills","CA, USA"
"1970-05","Nevada Test Site","NV, USA"
"1970-06","Flagstaff","AZ, USA"
