"Obszar eksploracji", "Hadley–Apennine"
"Lokacja lądowania", "26.1322°N 3.6339°E"
"Masa zebranych próbek", "77 kg"
"Liczba EVA", "4"
"Czas EVA łącznie", "19h 7m 53s"
"Czas EVA 1", "33m 7s"
"Czas EVA 2", "6h 32m 42s"
"Czas EVA 3", "7h 12m 14s"
"Czas EVA 4", "4h 49m 50s"
"Dystans przebyty łazikiem LRV", "27.9 km"
"Data startu z Ziemi", "1971-07-26 13:34:00 UTC"
"Data lądowania na Księżycu", "1971-07-30 22:16:29 UTC"
"Data startu z Księżyca", "1971-08-02 17:11:23 UTC"
"Data lądowania na Ziemi", "1971-08-07 20:45:53 UTC"
