"Obszar eksploracji", "Wyżyny Kartezjusza (Descartes Highlands)"
"Lokacja lądowania", "8.97341°S 15.49859°E"
"Masa zebranych próbek", "95.71 kg"
"Liczba EVA", "3"
"Czas EVA łącznie", "20h 14m 14s"
"Czas EVA 1", "7h 11m 2s"
"Czas EVA 2", "7h 23m 9s"
"Czas EVA 3", "5h 40m 3s"
"Dystans przebyty łazikiem LRV", "26.7 km"
"Data startu z Ziemi", "1972-04-16 17:54:00 UTC"
"Data lądowania na Księżycu", "1972-04-21 02:23:35 UTC"
"Data startu z Księżyca", "1972-04-24 01:25:47 UTC"
"Data lądowania na Ziemi", "1972-04-27 19:45:05 UTC"
