"Obszar eksploracji", "Taurus–Littrow"
"Lokacja lądowania", "20.18809°N 30.77475°E"
"Masa zebranych próbek", "110.52 kg"
"Liczba EVA", "3"
"Czas EVA łącznie", "22h 3m 57s"
"Czas EVA 1", "7h 11m 56s"
"Czas EVA 2", "7h 36m 56s"
"Czas EVA 3", "7h 15m 8s"
"Dystans przebyty łazikiem LRV", "35.74 km"
"Data startu z Ziemi", "1972-1207 05:33:00 UTC"
"Data lądowania na Księżycu", "1972-12-11 19:54:57 UTC"
"Data startu z Księżyca", "1972-12-14 22:54:37 UTC"
"Data lądowania na Ziemi", "1972-12-19 19:24:59 UTC"
