"Data", "Region geologiczny", "Lokacja"
"1971-10","Big Bend Region","TX, USA"
"1971-11","Flagstaff","AZ, USA"
"1971-11","Coso Hills","CA, USA"
"1971-12","Kilbourne Hole","NM, USA"
"1972-01","Boulder City","NV, USA"
"1972-02","Chocolate Mountains","CA, USA"
"1972-02","Flagstaff","AZ, USA"
"1972-03","Sierra Madera","TX, USA"
"1972-04","San Gabriel Mountains","CA, USA"
"1972-05","Sudbury Basin","Ontario, Canada"
"1972-06","Hawaii","HI, USA"
"1972-07","Stillwater Complex","MT, USA"
"1972-08","Nevada Test Site","NV, USA"
"1972-09","Tonopah","NV, USA"
"1972-10","Blackhawk Slide","CA, USA"
"1972-11","Flagstaff","AZ, USA"
