"Załoga", "Data", "Region geologiczny", "Lokacja"
"Apollo 11", "", "Sierra Blanca", ""
"Apollo 11", "", "Building 9, Manned Space Center", ""
"Apollo 14", "Ries Impact Crater", "Nördlingen, Bavaria, Niemcy"
"Apollo 15", "", "Devil's Lake", ""
"Apollo 15", "", "Cinder Lake crater field", "Arizona"
"", "", "Red Dirt Falls", "Waimea, HI, USA"
"Apollo 15", "1970-05", "Orocopia Mountains", "CA, USA"
"Apollo 15", "1970-06", "Mojave Desert", "CA, USA"
"Apollo 15", "1970-06", "Flagstaff", "AZ, USA"
"Apollo 15", "1970-07", "Flagstaff", "AZ, USA"
"Apollo 15", "1970-07", "Medicine Hat", "Alberta, Canada"
"Apollo 15", "1970-07", "Medicine Hat", "Alberta, Canada"
"Apollo 15", "1970-08", "San Juan Mountains", "CO, USA"
"Apollo 15", "1970-09", "Buell Park", "AZ, USA"
"Apollo 15", "1970-10", "North Minnesota", "NM, USA"
"Apollo 15", "1970-11", "Flagstaff", "AZ, USA"
"Apollo 15", "1970-11", "San Gabriel Mountains", "CA, USA"
"Apollo 15", "1970-12", "Hawaii", "HI, USA"
"Apollo 15", "1971-01", "Kilbourne Hole", "NM, USA"
"Apollo 15", "1971-02", "Ubehebe Craters", "CA, USA"
"Apollo 15", "1970-03", "Taos", "NM, USA"
"Apollo 15", "1970-04", "Coso Hills", "CA, USA"
"Apollo 15", "1970-05", "Nevada Test Site", "NV, USA"
"Apollo 15", "1970-06", "Flagstaff", "AZ, USA"
"Apollo 16", "1970-07", "San Juan Mountains", "CO, USA"
"Apollo 16", "1970-07", "Medicine Hat", "Alberta, Canada"
"Apollo 16", "1970-09", "Colorado Plateau", "AZ, USA"
"Apollo 16", "1970-10", "North Minnesota", "NM, USA"
"Apollo 16", "1970-11", "Nevada Test Site", "NV, USA"
"Apollo 16", "1970-11", "San Gabriel Mountains", "CA, USA"
"Apollo 16", "1971-01", "Kilbourne Hole", "NM, USA"
"Apollo 16", "1971-01", "Kilbourne Hole", "NM, USA"
"Apollo 16", "1971-02", "Meteor Crater", "AZ, USA"
"Apollo 16", "1971-03", "Flagstaff", "AZ, USA"
"Apollo 16", "1971-04", "Camp Verde", "AZ, USA"
"Apollo 16", "1971-05", "Capulin Mountains", "NM, USA"
"Apollo 16", "1971-06", "Mono Lake", "CA, USA"
"Apollo 16", "1971-07", "Sudbury Basin", "Ontario, Canada"
"Apollo 16", "1971-09", "Rio Grande Gorge, Taos", "NM, USA"
"Apollo 16", "1971-10", "Nevada Test Site", "NV, USA"
"Apollo 16", "1971-11", "Coso Hills", "CA, USA"
"Apollo 16", "1971-12", "Hawaii", "HI, USA"
"Apollo 16", "1972-02", "Boulder City", "NV, USA"
"Apollo 17", "1971-10", "Big Bend Region", "TX, USA"
"Apollo 17", "1971-11", "Flagstaff", "AZ, USA"
"Apollo 17", "1971-11", "Coso Hills", "CA, USA"
"Apollo 17", "1971-12", "Kilbourne Hole", "NM, USA"
"Apollo 17", "1972-01", "Boulder City", "NV, USA"
"Apollo 17", "1972-02", "Chocolate Mountains", "CA, USA"
"Apollo 17", "1972-02", "Flagstaff", "AZ, USA"
"Apollo 17", "1972-03", "Sierra Madera", "TX, USA"
"Apollo 17", "1972-04", "San Gabriel Mountains", "CA, USA"
"Apollo 17", "1972-05", "Sudbury Basin", "Ontario, Canada"
"Apollo 17", "1972-06", "Hawaii", "HI, USA"
"Apollo 17", "1972-07", "Stillwater Complex", "MT, USA"
"Apollo 17", "1972-08", "Nevada Test Site", "NV, USA"
"Apollo 17", "1972-09", "Tonopah", "NV, USA"
"Apollo 17", "1972-10", "Blackhawk Slide", "CA, USA"
"Apollo 17", "1972-11", "Flagstaff", "AZ, USA"
